cost_function,Building_1,District
all_time_peak_average,,1.0313
annual_normalized_unserved_energy_total,0.0155,0.0155
carbon_emissions_total,0.9293,0.9293
cost_total,0.8959,0.8959
daily_one_minus_load_factor_average,,1.1263
daily_peak_average,,1.0602
discomfort_cold_delta_average,0.2204,0.2204
discomfort_cold_delta_maximum,2.3339,2.3339
discomfort_cold_delta_minimum,0.0,0.0
discomfort_cold_proportion,0.0014,0.0014
discomfort_hot_delta_average,0.5855,0.5855
discomfort_hot_delta_maximum,8.7214,8.7214
discomfort_hot_delta_minimum,0.0,0.0
discomfort_hot_proportion,0.0643,0.0643
discomfort_proportion,0.0657,0.0657
electricity_consumption_total,0.9282,0.9282
monthly_one_minus_load_factor_average,,1.1025
one_minus_thermal_resilience_proportion,0.6429,0.6429
power_outage_normalized_unserved_energy_total,0.6357,0.6357
ramping_average,,1.9068
zero_net_energy,0.821,0.821
