cost_function,Building_1,District
all_time_peak_average,,0.8939
annual_normalized_unserved_energy_total,0.0127,0.0127
carbon_emissions_total,0.777,0.777
cost_total,0.7587,0.7587
daily_one_minus_load_factor_average,,1.0745
daily_peak_average,,0.9027
discomfort_cold_delta_average,0.3361,0.3361
discomfort_cold_delta_maximum,7.2178,7.2178
discomfort_cold_delta_minimum,0.0,0.0
discomfort_cold_proportion,0.029,0.029
discomfort_hot_delta_average,1.0492,1.0492
discomfort_hot_delta_maximum,7.3245,7.3245
discomfort_hot_delta_minimum,0.0,0.0
discomfort_hot_proportion,0.2013,0.2013
discomfort_proportion,0.2302,0.2302
electricity_consumption_total,0.7778,0.7778
monthly_one_minus_load_factor_average,,1.1084
one_minus_thermal_resilience_proportion,0.8333,0.8333
power_outage_normalized_unserved_energy_total,0.6059,0.6059
ramping_average,,1.1288
zero_net_energy,0.7503,0.7503
