cost_function,Building_1,Building_2,Building_3,Building_4,Building_5,Building_6,District
all_time_peak_average,,,,,,,1.1093
annual_normalized_unserved_energy_total,0.0147,0.0127,0.0122,0.0146,0.017,0.0122,0.0139
carbon_emissions_total,0.9793,1.249,1.0489,0.8668,1.0954,0.9228,1.027
cost_total,0.9667,1.2626,1.0101,0.8511,1.058,0.8851,1.0056
daily_one_minus_load_factor_average,,,,,,,1.0495
daily_peak_average,,,,,,,1.01
discomfort_cold_delta_average,0.8143,0.1449,0.3984,0.4878,0.4134,0.655,0.4856
discomfort_cold_delta_maximum,11.09,4.4212,5.3994,8.6366,8.6819,11.8958,8.3542
discomfort_cold_delta_minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discomfort_cold_proportion,0.1158,0.0139,0.064,0.0769,0.0661,0.0943,0.0719
discomfort_hot_delta_average,0.5968,0.5904,0.3294,0.6138,0.5726,0.6182,0.5535
discomfort_hot_delta_maximum,7.6874,6.8542,4.3051,9.3855,13.0263,8.4323,8.2818
discomfort_hot_delta_minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discomfort_hot_proportion,0.0864,0.0922,0.0224,0.0788,0.0865,0.0835,0.075
discomfort_proportion,0.2022,0.1061,0.0865,0.1557,0.1526,0.1778,0.1468
electricity_consumption_total,0.9747,1.2483,1.0444,0.8673,1.091,0.9197,1.0242
monthly_one_minus_load_factor_average,,,,,,,1.0176
one_minus_thermal_resilience_proportion,0.8095,1.0,0.4062,0.6977,1.0,0.8537,0.7945
power_outage_normalized_unserved_energy_total,0.6788,0.586,0.6257,0.6353,0.7575,0.5863,0.6449
ramping_average,,,,,,,1.4905
zero_net_energy,0.87,1.0622,1.0076,0.8313,1.057,0.892,0.9533
