cost_function,Building_1,Building_2,Building_3,Building_4,Building_5,Building_6,District
all_time_peak_average,,,,,,,0.8488
annual_normalized_unserved_energy_total,0.0151,0.0189,0.0116,0.0152,0.02,0.015,0.016
carbon_emissions_total,0.8705,1.0735,0.9293,0.7964,0.9825,0.9074,0.9266
cost_total,0.8316,1.0535,0.8973,0.7685,0.973,0.8759,0.9
daily_one_minus_load_factor_average,,,,,,,0.9972
daily_peak_average,,,,,,,0.9025
discomfort_cold_delta_average,0.6983,0.2807,0.1882,0.304,0.1772,0.6343,0.3804
discomfort_cold_delta_maximum,12.0519,10.3197,5.7034,11.6556,6.377,14.8348,10.1571
discomfort_cold_delta_minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discomfort_cold_proportion,0.1071,0.0562,0.0465,0.0413,0.0243,0.0877,0.0605
discomfort_hot_delta_average,0.5639,0.4215,0.5975,0.654,0.7669,0.4957,0.5832
discomfort_hot_delta_maximum,6.8488,7.0279,4.8751,9.0565,13.0271,9.0567,8.3153
discomfort_hot_delta_minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discomfort_hot_proportion,0.0395,0.0303,0.0317,0.0446,0.1012,0.0302,0.0463
discomfort_proportion,0.1466,0.0865,0.0783,0.0858,0.1255,0.1179,0.1068
electricity_consumption_total,0.8664,1.0667,0.9248,0.7963,0.9816,0.9016,0.9229
monthly_one_minus_load_factor_average,,,,,,,1.0011
one_minus_thermal_resilience_proportion,0.6905,1.0,0.875,0.6744,1.0,0.878,0.853
power_outage_normalized_unserved_energy_total,0.6431,0.7259,0.6041,0.614,0.7961,0.6567,0.6733
ramping_average,,,,,,,1.0081
zero_net_energy,0.8577,1.0707,0.9222,0.7818,0.9826,0.9007,0.9193
