cost_function,Building_1,District
all_time_peak_average,,0.962
annual_normalized_unserved_energy_total,0.016,0.016
carbon_emissions_total,0.605,0.605
cost_total,0.551,0.551
daily_one_minus_load_factor_average,,1.236
daily_peak_average,,0.889
discomfort_cold_delta_average,0.223,0.223
discomfort_cold_delta_maximum,7.08,7.08
discomfort_cold_delta_minimum,0.0,0.0
discomfort_cold_proportion,0.045,0.045
discomfort_hot_delta_average,4.035,4.035
discomfort_hot_delta_maximum,12.521,12.521
discomfort_hot_delta_minimum,0.0,0.0
discomfort_hot_proportion,0.722,0.722
discomfort_proportion,0.766,0.766
electricity_consumption_total,0.614,0.614
monthly_one_minus_load_factor_average,,1.349
one_minus_thermal_resilience_proportion,1.0,1.0
power_outage_normalized_unserved_energy_total,0.756,0.756
ramping_average,,1.306
zero_net_energy,0.446,0.446
