,cost_function,value,name,level
0,all_time_peak_average,0.8632509004091714,District,district
1,annual_normalized_unserved_energy_total,0.016131624065926636,District,district
2,carbon_emissions_total,0.9251405848775544,District,district
3,cost_total,0.9041621271291495,District,district
4,daily_one_minus_load_factor_average,1.0014527145872356,District,district
5,daily_peak_average,0.9104657686990454,District,district
6,discomfort_cold_delta_average,0.3349812265467529,District,district
7,discomfort_cold_delta_maximum,3.393571217854818,District,district
8,discomfort_cold_delta_minimum,0.0,District,district
9,discomfort_cold_proportion,0.017879122862413093,District,district
10,discomfort_hot_delta_average,0.5235588232388243,District,district
11,discomfort_hot_delta_maximum,8.132420221964518,District,district
12,discomfort_hot_delta_minimum,0.0,District,district
13,discomfort_hot_proportion,0.09214893053759408,District,district
14,discomfort_proportion,0.11002805340000717,District,district
15,electricity_consumption_total,0.9270361484162072,District,district
16,monthly_one_minus_load_factor_average,0.9733584984503041,District,district
17,one_minus_thermal_resilience_proportion,0.8085912529598719,District,district
18,power_outage_normalized_unserved_energy_total,0.6849629700667501,District,district
19,ramping_average,1.1016555187083008,District,district
20,zero_net_energy,0.9148881334438542,District,district
21,electricity_consumption_total,0.9356570954674645,Building_1,building
22,zero_net_energy,0.9226277014625214,Building_1,building
23,carbon_emissions_total,0.9338888165896742,Building_1,building
24,cost_total,0.9112159825580392,Building_1,building
25,discomfort_proportion,0.08639705882352941,Building_1,building
26,discomfort_cold_proportion,0.06433823529411764,Building_1,building
27,discomfort_hot_proportion,0.022058823529411766,Building_1,building
28,discomfort_cold_delta_minimum,0.0,Building_1,building
29,discomfort_cold_delta_maximum,4.528608322143555,Building_1,building
30,discomfort_cold_delta_average,0.8180175345876942,Building_1,building
31,discomfort_hot_delta_minimum,0.0,Building_1,building
32,discomfort_hot_delta_maximum,6.809247970581055,Building_1,building
33,discomfort_hot_delta_average,0.17880951667177505,Building_1,building
34,one_minus_thermal_resilience_proportion,0.6904761904761905,Building_1,building
35,power_outage_normalized_unserved_energy_total,0.6965553528676952,Building_1,building
36,annual_normalized_unserved_energy_total,0.016814901693064946,Building_1,building
37,electricity_consumption_total,0.9665949277668332,Building_2,building
38,zero_net_energy,0.9365915672767298,Building_2,building
39,carbon_emissions_total,0.9630760363527302,Building_2,building
40,cost_total,0.9436131616742122,Building_2,building
41,discomfort_proportion,0.03977272727272727,Building_2,building
42,discomfort_cold_proportion,0.005050505050505051,Building_2,building
43,discomfort_hot_proportion,0.034722222222222224,Building_2,building
44,discomfort_cold_delta_minimum,0.0,Building_2,building
45,discomfort_cold_delta_maximum,2.849231719970703,Building_2,building
46,discomfort_cold_delta_average,0.05952822384626969,Building_2,building
47,discomfort_hot_delta_minimum,0.0,Building_2,building
48,discomfort_hot_delta_maximum,7.335823059082031,Building_2,building
49,discomfort_hot_delta_average,0.47096096778261487,Building_2,building
50,one_minus_thermal_resilience_proportion,1.0,Building_2,building
51,power_outage_normalized_unserved_energy_total,0.6830348429226878,Building_2,building
52,annual_normalized_unserved_energy_total,0.01632566259891983,Building_2,building
53,electricity_consumption_total,0.9856540608835304,Building_3,building
54,zero_net_energy,0.9819597532192206,Building_3,building
55,carbon_emissions_total,0.9837283183592599,Building_3,building
56,cost_total,0.9700182062694177,Building_3,building
57,discomfort_proportion,0.0180623973727422,Building_3,building
58,discomfort_cold_proportion,0.002736726874657909,Building_3,building
59,discomfort_hot_proportion,0.01532567049808429,Building_3,building
60,discomfort_cold_delta_minimum,0.0,Building_3,building
61,discomfort_cold_delta_maximum,3.0128002166748047,Building_3,building
62,discomfort_cold_delta_average,0.31533662910046784,Building_3,building
63,discomfort_hot_delta_minimum,0.0,Building_3,building
64,discomfort_hot_delta_maximum,4.190044403076172,Building_3,building
65,discomfort_hot_delta_average,0.19504829075025476,Building_3,building
66,one_minus_thermal_resilience_proportion,0.65625,Building_3,building
67,power_outage_normalized_unserved_energy_total,0.6540866187375534,Building_3,building
68,annual_normalized_unserved_energy_total,0.015251932490262004,Building_3,building
69,electricity_consumption_total,0.8092813727739022,Building_4,building
70,zero_net_energy,0.7917694696575908,Building_4,building
71,carbon_emissions_total,0.8069990876671,Building_4,building
72,cost_total,0.7888451001655473,Building_4,building
73,discomfort_proportion,0.0975609756097561,Building_4,building
74,discomfort_cold_proportion,0.006566604127579738,Building_4,building
75,discomfort_hot_proportion,0.09099437148217636,Building_4,building
76,discomfort_cold_delta_minimum,0.0,Building_4,building
77,discomfort_cold_delta_maximum,2.4481048583984375,Building_4,building
78,discomfort_cold_delta_average,0.24574774503707886,Building_4,building
79,discomfort_hot_delta_minimum,0.0,Building_4,building
80,discomfort_hot_delta_maximum,8.127388000488281,Building_4,building
81,discomfort_hot_delta_average,0.659205046252928,Building_4,building
82,one_minus_thermal_resilience_proportion,0.6511627906976745,Building_4,building
83,power_outage_normalized_unserved_energy_total,0.6524896568975024,Building_4,building
84,annual_normalized_unserved_energy_total,0.015815361150333742,Building_4,building
85,electricity_consumption_total,0.9055443539361425,Building_5,building
86,zero_net_energy,0.899539256932005,Building_5,building
87,carbon_emissions_total,0.9037660600005003,Building_5,building
88,cost_total,0.8747072677692744,Building_5,building
89,discomfort_proportion,0.3730921424533635,Building_5,building
90,discomfort_cold_proportion,0.0016958733747880158,Building_5,building
91,discomfort_hot_proportion,0.3713962690785755,Building_5,building
92,discomfort_cold_delta_minimum,0.0,Building_5,building
93,discomfort_cold_delta_maximum,3.6533069610595703,Building_5,building
94,discomfort_cold_delta_average,0.03233410482821257,Building_5,building
95,discomfort_hot_delta_minimum,0.0,Building_5,building
96,discomfort_hot_delta_maximum,13.370647430419922,Building_5,building
97,discomfort_hot_delta_average,1.4431598376536714,Building_5,building
98,one_minus_thermal_resilience_proportion,1.0,Building_5,building
99,power_outage_normalized_unserved_energy_total,0.7460710424036557,Building_5,building
100,annual_normalized_unserved_energy_total,0.016983778194755723,Building_5,building
101,electricity_consumption_total,0.9594850796693707,Building_6,building
102,zero_net_energy,0.9568410521150578,Building_6,building
103,carbon_emissions_total,0.959385190296062,Building_6,building
104,cost_total,0.9365730443384063,Building_6,building
105,discomfort_proportion,0.045283018867924525,Building_6,building
106,discomfort_cold_proportion,0.02688679245283019,Building_6,building
107,discomfort_hot_proportion,0.01839622641509434,Building_6,building
108,discomfort_cold_delta_minimum,0.0,Building_6,building
109,discomfort_cold_delta_maximum,3.869375228881836,Building_6,building
110,discomfort_cold_delta_average,0.5389231218807939,Building_6,building
111,discomfort_hot_delta_minimum,0.0,Building_6,building
112,discomfort_hot_delta_maximum,8.961370468139648,Building_6,building
113,discomfort_hot_delta_average,0.19416928032170172,Building_6,building
114,one_minus_thermal_resilience_proportion,0.8536585365853658,Building_6,building
115,power_outage_normalized_unserved_energy_total,0.6775403065714063,Building_6,building
116,annual_normalized_unserved_energy_total,0.015598108268223564,Building_6,building
