,cost_function,value,name,level
0,all_time_peak_average,0.9334847431812456,District,district
1,annual_normalized_unserved_energy_total,0.015169270689538578,District,district
2,carbon_emissions_total,0.8395978900669648,District,district
3,cost_total,0.8306657214808898,District,district
4,daily_one_minus_load_factor_average,1.1243721623903444,District,district
5,daily_peak_average,0.8978701063690547,District,district
6,discomfort_cold_delta_average,0.15311596934922075,District,district
7,discomfort_cold_delta_maximum,3.020768165588379,District,district
8,discomfort_cold_delta_minimum,0.0,District,district
9,discomfort_cold_proportion,0.01347632977923513,District,district
10,discomfort_hot_delta_average,2.3351029562201475,District,district
11,discomfort_hot_delta_maximum,9.464491844177246,District,district
12,discomfort_hot_delta_minimum,0.0,District,district
13,discomfort_hot_proportion,0.4297628853877167,District,district
14,discomfort_proportion,0.4432392151669518,District,district
15,electricity_consumption_total,0.8369894570446297,District,district
16,monthly_one_minus_load_factor_average,1.1116899139456355,District,district
17,one_minus_thermal_resilience_proportion,0.859703765227021,District,district
18,power_outage_normalized_unserved_energy_total,0.6120900444755016,District,district
19,ramping_average,1.1243675183321291,District,district
20,zero_net_energy,0.7838441642823368,District,district
21,electricity_consumption_total,0.690028100705347,Building_1,building
22,zero_net_energy,0.555481007225589,Building_1,building
23,carbon_emissions_total,0.6891240131801896,Building_1,building
24,cost_total,0.6828993478017846,Building_1,building
25,discomfort_proportion,0.7555147058823529,Building_1,building
26,discomfort_cold_proportion,0.04641544117647059,Building_1,building
27,discomfort_hot_proportion,0.7090992647058824,Building_1,building
28,discomfort_cold_delta_minimum,0.0,Building_1,building
29,discomfort_cold_delta_maximum,3.986175537109375,Building_1,building
30,discomfort_cold_delta_average,0.23965421362199646,Building_1,building
31,discomfort_hot_delta_minimum,0.0,Building_1,building
32,discomfort_hot_delta_maximum,13.613487243652344,Building_1,building
33,discomfort_hot_delta_average,4.295214005138563,Building_1,building
34,one_minus_thermal_resilience_proportion,0.9285714285714286,Building_1,building
35,power_outage_normalized_unserved_energy_total,0.5809360202823467,Building_1,building
36,annual_normalized_unserved_energy_total,0.00848566220073922,Building_1,building
37,electricity_consumption_total,1.1993047154459335,Building_2,building
38,zero_net_energy,1.11383933501134,Building_2,building
39,carbon_emissions_total,1.2041821360192515,Building_2,building
40,cost_total,1.191750838204441,Building_2,building
41,discomfort_proportion,0.02335858585858586,Building_2,building
42,discomfort_cold_proportion,0.003787878787878788,Building_2,building
43,discomfort_hot_proportion,0.019570707070707072,Building_2,building
44,discomfort_cold_delta_minimum,0.0,Building_2,building
45,discomfort_cold_delta_maximum,2.8263511657714844,Building_2,building
46,discomfort_cold_delta_average,0.13859806717305945,Building_2,building
47,discomfort_hot_delta_minimum,0.0,Building_2,building
48,discomfort_hot_delta_maximum,6.861743927001953,Building_2,building
49,discomfort_hot_delta_average,0.3113535236621249,Building_2,building
