,cost_function,value,name,level
0,all_time_peak_average,0.9133542204071206,District,district
1,annual_normalized_unserved_energy_total,0.014527332137939193,District,district
2,carbon_emissions_total,0.8582442296311917,District,district
3,cost_total,0.8362525027335793,District,district
4,daily_one_minus_load_factor_average,1.0745794116578682,District,district
5,daily_peak_average,0.8705102022344177,District,district
6,discomfort_cold_delta_average,0.20830495936283167,District,district
7,discomfort_cold_delta_maximum,4.593395868937175,District,district
8,discomfort_cold_delta_minimum,0.0,District,district
9,discomfort_cold_proportion,0.030357712641939344,District,district
10,discomfort_hot_delta_average,1.877783426196103,District,district
11,discomfort_hot_delta_maximum,9.649873733520508,District,district
12,discomfort_hot_delta_minimum,0.0,District,district
13,discomfort_hot_proportion,0.31661272135663343,District,district
14,discomfort_proportion,0.3469704339985728,District,district
15,electricity_consumption_total,0.8563725102092855,District,district
16,monthly_one_minus_load_factor_average,1.086031948452283,District,district
17,one_minus_thermal_resilience_proportion,0.8934640291170354,District,district
18,power_outage_normalized_unserved_energy_total,0.6299457104035412,District,district
19,ramping_average,1.1939177262988405,District,district
20,zero_net_energy,0.8005874253181027,District,district
21,electricity_consumption_total,0.6228427624457872,Building_1,building
22,zero_net_energy,0.46043007832440136,Building_1,building
23,carbon_emissions_total,0.6233629476153635,Building_1,building
24,cost_total,0.5957944475462081,Building_1,building
25,discomfort_proportion,0.8106617647058824,Building_1,building
26,discomfort_cold_proportion,0.016544117647058824,Building_1,building
27,discomfort_hot_proportion,0.7941176470588235,Building_1,building
28,discomfort_cold_delta_minimum,0.0,Building_1,building
29,discomfort_cold_delta_maximum,4.035625457763672,Building_1,building
30,discomfort_cold_delta_average,0.09306937283363895,Building_1,building
31,discomfort_hot_delta_minimum,0.0,Building_1,building
32,discomfort_hot_delta_maximum,13.992610931396484,Building_1,building
33,discomfort_hot_delta_average,5.466515104839767,Building_1,building
34,one_minus_thermal_resilience_proportion,1.0,Building_1,building
35,power_outage_normalized_unserved_energy_total,0.6307004121405122,Building_1,building
36,annual_normalized_unserved_energy_total,0.010029486916482117,Building_1,building
